ProductKey,ProductCode,ProductName,Manufacturer,Brand,Color,WeightUnit,Weight,Cost,Price,CategoryKey,CategoryName,SubCategoryKey,SubCategoryName
1006,0401063,A. Datum Super-zoom Digital Camera X300 Orange,A. Datum Corporation,A. Datum,Orange,ounces,5.60000,96.08000,290.00000,4,Cameras and camcorders,401,Digital Cameras
1039,0401096,A. Datum SLR-like Digital Camera M400 Azure,A. Datum Corporation,A. Datum,Azure,ounces,5.25000,90.55000,196.90000,4,Cameras and camcorders,401,Digital Cameras
1320,0501005,Contoso KSU-less key system M38 Black,"Contoso, Ltd",Contoso,Black,pounds,1.70000,12.41000,26.99000,5,Cell phones,501,Home & Office Phones
1378,0501063,Contoso 4-Line Expandable Cordless Phone System M900 White,"Contoso, Ltd",Contoso,White,pounds,2.70000,10.12000,22.00000,5,Cell phones,501,Home & Office Phones
138,0201023,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,Adventure Works,Black,pounds,11.10000,229.93000,499.99000,2,TV and Video,201,Televisions
1454,0503047,The Phone Company Finger Touch Screen Phones M30 Gold,The Phone Company,The Phone Company,Gold,ounces,4.80000,91.51000,199.00000,5,Cell phones,503,Touch Screen Phones
1520,0504051,The Phone Company PDA Wifi 3.5-inch M200 Black,The Phone Company,The Phone Company,Black,ounces,3.10000,128.76000,280.00000,5,Cell phones,504,Smart phones & PDAs
154,0201039,"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Adventure Works,Black,pounds,1.30000,216.12000,469.97000,2,TV and Video,201,Televisions
1593,0602023,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Southridge Video,Red,pounds,4.00000,6.39000,13.89000,6,"Music, Movies and Audio Books",602,Movie DVD
1612,0602042,SV DVD 12-Inch Player Portable M400 White,Southridge Video,Southridge Video,White,pounds,10.00000,82.77000,179.99000,6,"Music, Movies and Audio Books",602,Movie DVD
1621,0602051,Contoso DVD Movies E100 Yellow,"Contoso, Ltd",Contoso,Yellow,pounds,19.00000,6.62000,12.99000,6,"Music, Movies and Audio Books",602,Movie DVD
1639,0602069,Contoso DVD 38 DVD Storage Binder E25 Red,"Contoso, Ltd",Contoso,Red,pounds,37.00000,5.09000,9.99000,6,"Music, Movies and Audio Books",602,Movie DVD
1769,0702063,MGS Gears of War 2008 M450,Tailspin Toys,Tailspin Toys,White,,,15.64000,34.00000,7,Games and Toys,702,Download Games
1770,0702064,MGS Age of Empires III: The Asian Dynasties 2008 E126,Tailspin Toys,Tailspin Toys,White,,,17.33000,34.00000,7,Games and Toys,702,Download Games
1835,0801009,Litware Washer & Dryer 21in E214 Silver,"Litware, Inc.",Litware,Silver,pounds,158.00000,815.22000,1599.00000,8,Home Appliances,801,Washers & Dryers
1849,0801023,NT Washer & Dryer 24in M2400 White,Northwind Traders,Northwind Traders,White,pounds,239.00000,836.45000,1818.90000,8,Home Appliances,801,Washers & Dryers
1897,0802001,Fabrikam Refrigerator 24.7CuFt X9800 White,"Fabrikam, Inc.",Fabrikam,White,pounds,71.00000,1060.22000,3199.99000,8,Home Appliances,802,Refrigerators
1938,0802042,Fabrikam Refrigerator 1.7CuFt E1200 Orange,"Fabrikam, Inc.",Fabrikam,Orange,pounds,69.00000,66.27000,129.99000,8,Home Appliances,802,Refrigerators
1983,0803001,Fabrikam Microwave 1.5CuFt X1100 White,"Fabrikam, Inc.",Fabrikam,White,pounds,27.00000,220.64000,665.94000,8,Home Appliances,803,Microwaves
203,0203012,Litware Home Theater System 7.1 Channel M710 Black,"Litware, Inc.",Litware,Black,pounds,34.00000,264.72000,799.00000,2,TV and Video,203,Home Theater System
2044,0803062,Litware Microwave 2.2CuFt M125 Black,"Litware, Inc.",Litware,Black,pounds,37.00000,91.97000,199.99000,8,Home Appliances,803,Microwaves
2154,0805039,Adventure Works Coffee Maker 12C M100 White,Adventure Works,Adventure Works,White,pounds,20.90000,204.64000,445.00000,8,Home Appliances,805,Coffee Machines
2262,0806073,WWI Floor Lamp X115 Blue,Wide World Importers,Wide World Importers,Blue,pounds,8.00000,210.72000,635.99000,8,Home Appliances,806,Lamps
2291,0806102,Proseware Wall Lamp E0315 Silver,"Proseware, Inc.",Proseware,Silver,pounds,4.00000,52.00000,101.99000,8,Home Appliances,806,Lamps
231,0203040,Litware Home Theater System 4.1 Channel M412 Brown,"Litware, Inc.",Litware,Brown,pounds,32.30000,261.66000,569.00000,2,TV and Video,203,Home Theater System
2484,0808075,Litware 18'' Oscillating Pedestal Fan M145 Pink,"Litware, Inc.",Litware,Pink,pounds,2.00000,183.95000,400.00000,8,Home Appliances,808,Fans
2492,0505005,Cigarette Lighter Adapter for Contoso Phones E110 White,"Contoso, Ltd",Contoso,White,ounces,11.40000,12.74000,24.99000,5,Cell phones,505,Cell phones Accessories
469,0304009,Proseware LCD17 E200 Black,"Proseware, Inc.",Proseware,Black,pounds,10.80000,50.47000,99.00000,3,Computers,304,Monitors
473,0304013,Proseware CRT17 E104 Black,"Proseware, Inc.",Proseware,Black,pounds,10.80000,30.08000,59.00000,3,Computers,304,Monitors
541,0305003,Proseware Projector 720p LCD56 Black,"Proseware, Inc.",Proseware,Black,pounds,6.50000,321.44000,699.00000,3,Computers,305,Projectors & Screens
549,0305011,Proseware Screen 85in E1010 Black,"Proseware, Inc.",Proseware,Black,pounds,6.80000,70.87000,139.00000,3,Computers,305,Projectors & Screens
574,0305036,Proseware Screen 80in E1010 Silver,"Proseware, Inc.",Proseware,Silver,pounds,6.00000,55.57000,109.00000,3,Computers,305,Projectors & Screens
596,0305058,Contoso Screen 100in E010 White,"Contoso, Ltd",Contoso,White,pounds,10.60000,62.95000,190.00000,3,Computers,305,Projectors & Screens
603,0305065,Contoso Projector 480p M480 Silver,"Contoso, Ltd",Contoso,Silver,pounds,5.60000,116.75000,229.00000,3,Computers,305,Projectors & Screens
610,0305072,Contoso Screen 80in E080 Silver,"Contoso, Ltd",Contoso,Silver,pounds,6.00000,55.57000,109.00000,3,Computers,305,Projectors & Screens
665,0306024,Proseware Photo Inkjet Printer E290 Black,"Proseware, Inc.",Proseware,Black,pounds,12.60000,52.00000,102.00000,3,Computers,306,"Printers, Scanners & Fax"
818,0308076,Contoso Smart Battery M901 Grey,"Contoso, Ltd",Contoso,Grey,pounds,3.70000,5.29000,11.50000,3,Computers,308,Computers Accessories
895,0308153,SV Keyboard E90 Silver,Southridge Video,Southridge Video,Silver,,,21.28000,41.73000,3,Computers,308,Computers Accessories
914,0308172,SV 160GB USB2.0 Portable Hard Disk M65 Grey,Southridge Video,Southridge Video,Grey,,,44.10000,95.90000,3,Computers,308,Computers Accessories
977,0401034,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,A. Datum Corporation,A. Datum,Pink,ounces,4.85000,88.79000,268.00000,4,Cameras and camcorders,401,Digital Cameras
